date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:17	3357/3357	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jul%202024%2016:30:30%20GMT	https://servicios.dgac.gob.cl/pcp/faces/validacion.xhtml?data=9tM1Er5LiNFQGG95E2ud6aKFiur7CV	C:/Mis%20lugares%20Web/PRUEBA%20PCP/servicios.dgac.gob.cl/pcp/faces/validacion8863.html	(from )
12:30:18	79/79	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2016:30:29%20GMT	https://servicios.dgac.gob.cl/robots.txt		(from )
12:30:18	24109/24109	---M-Z	200	added ('OK')	text/css	etag:W/%2223789-1492622952000%22	https://servicios.dgac.gob.cl/pcp/faces/javax.faces.resource/theme.css?ln=primefaces-aristo	C:/Mis%20lugares%20Web/PRUEBA%20PCP/servicios.dgac.gob.cl/pcp/faces/javax.faces.resource/themeab55.css	(from https://servicios.dgac.gob.cl/pcp/faces/validacion.xhtml?data=9tM1Er5LiNFQGG95E2ud6aKFiur7CV)
12:30:18	147490/147490	---M-Z	200	added ('OK')	text/css	etag:W/%22147490-1493415066000%22	https://servicios.dgac.gob.cl/pcp/faces/javax.faces.resource/bootstrap.css;jsessionid=fb0GzPAQlB4l3Pl3Qao8vcls.eacvmpeap1-02?ln=css	C:/Mis%20lugares%20Web/PRUEBA%20PCP/servicios.dgac.gob.cl/pcp/faces/javax.faces.resource/bootstrap.css;jsessionid=fb0GzPAQlB4l3Pl3Qao8vclse9d7.css	(from https://servicios.dgac.gob.cl/pcp/faces/validacion.xhtml?data=9tM1Er5LiNFQGG95E2ud6aKFiur7CV)
12:30:18	32378/32378	---M-Z	200	added ('OK')	text/css	etag:W/%2232378-1493415066000%22	https://servicios.dgac.gob.cl/pcp/faces/javax.faces.resource/font-awesome.css;jsessionid=fb0GzPAQlB4l3Pl3Qao8vcls.eacvmpeap1-02?ln=css	C:/Mis%20lugares%20Web/PRUEBA%20PCP/servicios.dgac.gob.cl/pcp/faces/javax.faces.resource/font-awesome.css;jsessionid=fb0GzPAQlB4l3Pl3Qao8vclse9d7.css	(from https://servicios.dgac.gob.cl/pcp/faces/validacion.xhtml?data=9tM1Er5LiNFQGG95E2ud6aKFiur7CV)
12:30:19	1098/1098	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2016:30:31%20GMT	https://servicios.dgac.gob.cl/pcp/faces/RES_NOT_FOUND	C:/Mis%20lugares%20Web/PRUEBA%20PCP/servicios.dgac.gob.cl/pcp/faces/RES_NOT_FOUND.4.delayed	(from https://servicios.dgac.gob.cl/pcp/faces/validacion.xhtml?data=9tM1Er5LiNFQGG95E2ud6aKFiur7CV)
12:30:19	36816/36816	---M-Z	200	added ('OK')	text/javascript	etag:W/%2236816-1524166946000%22	https://servicios.dgac.gob.cl/pcp/faces/javax.faces.resource/bootstrap.min.js;jsessionid=fb0GzPAQlB4l3Pl3Qao8vcls.eacvmpeap1-02?ln=js	C:/Mis%20lugares%20Web/PRUEBA%20PCP/servicios.dgac.gob.cl/pcp/faces/javax.faces.resource/bootstrap.min.js;jsessionid=fb0GzPAQlB4l3Pl3Qao8vcls8490.eacvmpeap1-02	(from https://servicios.dgac.gob.cl/pcp/faces/validacion.xhtml?data=9tM1Er5LiNFQGG95E2ud6aKFiur7CV)
12:30:19	1086/1086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%221086-1541438716000%22	https://servicios.dgac.gob.cl/pcp/faces/resources/images/favicon.ico	C:/Mis%20lugares%20Web/PRUEBA%20PCP/servicios.dgac.gob.cl/pcp/faces/resources/images/favicon.ico	(from https://servicios.dgac.gob.cl/pcp/faces/validacion.xhtml?data=9tM1Er5LiNFQGG95E2ud6aKFiur7CV)
12:30:20	2822/2822	---M--	200	added ('OK')	image/png	etag:W/%222822-1492622946000%22	https://servicios.dgac.gob.cl/pcp/faces/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100.png?ln=primefaces-aristo	C:/Mis%20lugares%20Web/PRUEBA%20PCP/servicios.dgac.gob.cl/pcp/faces/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100ab55.png	(from https://servicios.dgac.gob.cl/pcp/faces/javax.faces.resource/theme.css?ln=primefaces-aristo)
12:30:20	2822/2822	---M--	200	added ('OK')	image/png	etag:W/%222822-1492622946000%22	https://servicios.dgac.gob.cl/pcp/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png?ln=primefaces-aristo	C:/Mis%20lugares%20Web/PRUEBA%20PCP/servicios.dgac.gob.cl/pcp/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100ab55.png	(from https://servicios.dgac.gob.cl/pcp/faces/javax.faces.resource/theme.css?ln=primefaces-aristo)
